Image_Url	Number_of_columns	Number_of_rows	empty_cells_ratio	Is_coorelation	Is_caption_descriptive	Is_columns_descriptive	ratio_str_vs_int	is_cols_var_def	is_cols_model_results	Label
pngs\Model_results\AlaviM#JohnsonS#RnT#YooY_2010_IT-ENABLED_KNOWLEDGE_MANAGEMENT_IN_HEALTHCARE_DELIVERY_-_THE_CASE_OF_EMERGENCY_CARE_ICIS-Table4-1.png	11	9	0.2727272727272727	0	0	1	2.6666666666666665	0	1	Model_results
pngs\Descriptive_stats\AlaviM#JohnsonS#RnT#YooY_2010_IT-ENABLED_KNOWLEDGE_MANAGEMENT_IN_HEALTHCARE_DELIVERY_-_THE_CASE_OF_EMERGENCY_CARE_ICIS-Table5-1.png	11	4	0.09090909090909091	0	0	1	10.0	0	0	Descriptive_stats
pngs\Descriptive_stats\AlaviM#JohnsonS#RnT#YooY_2010_IT-ENABLED_KNOWLEDGE_MANAGEMENT_IN_HEALTHCARE_DELIVERY_-_THE_CASE_OF_EMERGENCY_CARE_ICIS-Table6-1.png	9	4	0.05555555555555555	0	0	1	17.0	0	0	Descriptive_stats
pngs\Coorleation\AlfaroI_2010_NATIONALITY_DIVERSITY_AND_PERFORMANCE_IN_GLOBAL_SOFTWARE_DEVELOPMENT_TEAMS_-_THE_ROLE_OF_TEMPORAL_DISPERSION_AND_LEADERSHIP_ICIS-Table1-1.png	9	12	0.26851851851851855	0	1	1	2.4838709677419355	0	0	Coorleation
pngs\Descriptive_stats\AlgarniA#XuY#ChanT_2015_Susceptibility_to_Social_Engineering_in_Social_Networking_Sites_-_The_Case_of_Facebook_ICIS-Table3-1.png	30	7	0.04285714285714286	0	0	1	22.333333333333332	0	0	Descriptive_stats
pngs\Descriptive_stats\AlgarniA#XuY#ChanT_2015_Susceptibility_to_Social_Engineering_in_Social_Networking_Sites_-_The_Case_of_Facebook_ICIS-Table7-1.png	10	6	0.35	0	0	1	1.8571428571428572	0	0	Descriptive_stats
pngs\Descriptive_stats\AlgarniA#XuY#ChanT_2015_Susceptibility_to_Social_Engineering_in_Social_Networking_Sites_-_The_Case_of_Facebook_ICIS-Table5-1.png	27	9	0.23868312757201646	0	0	1	3.189655172413793	0	0	Descriptive_stats
pngs\Descriptive_stats\AlgarniA#XuY#ChanT_2015_Susceptibility_to_Social_Engineering_in_Social_Networking_Sites_-_The_Case_of_Facebook_ICIS-Table4-1.png	16	13	0.3269230769230769	0	1	1	1.8888888888888888	0	1	Descriptive_stats
pngs\Variable_def\Ali-HassanH#NevoD_2009_Identifying_Social_Computing_Dimensions_-_A_Multidimensional_Scaling_Study_ICIS-Table2-1.png	5	3	0.0	0	0	1	100	0	0	Variable_def
pngs\Variable_def\Ali-HassanH#NevoD_2009_Identifying_Social_Computing_Dimensions_-_A_Multidimensional_Scaling_Study_ICIS-Table3-1.png	9	4	0.0	0	0	1	100	1	0	Variable_def
pngs\Variable_def\Ali-HassanH#NevoD_2009_Identifying_Social_Computing_Dimensions_-_A_Multidimensional_Scaling_Study_ICIS-Table1-1.png	3	3	0.0	0	0	0	100	1	0	Variable_def
pngs\Variable_def\AlterS_2004_Desperately_Seeking_Systems_Thinking_in_the_Information_Systems_Discipline_ICIS-Table1-1.png	5	2	0.0	0	0	0	100	1	0	Variable_def
pngs\Variable_def\AlterS_2004_Desperately_Seeking_Systems_Thinking_in_the_Information_Systems_Discipline_ICIS-Table2-1.png	11	3	0.030303030303030304	0	0	0	32.0	0	0	Variable_def
pngs\Variable_def\AmentC#HaagS_2016_How_Information_Security_Requirements_Stress_Employees_ICIS-Table1-1.png	5	2	0.0	0	1	0	100	0	1	Variable_def
pngs\Variable_def\AmentC#HaagS_2016_How_Information_Security_Requirements_Stress_Employees_ICIS-Table2-1.png	5	2	0.0	0	1	0	100	0	0	Variable_def
pngs\Variable_def\AmentC#HaagS_2016_How_Information_Security_Requirements_Stress_Employees_ICIS-Table3-1.png	3	2	0.0	0	1	0	100	0	0	Variable_def
pngs\Descriptive_stats\AnanthakrishnanU#SmithM#TelangR_2016_When_Streams_Come_True_-_Estimating_the_Impact_of_Free_Streaming_Availability_on_EST_Sales_ICIS-Table1-1.png	6	7	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Model_results\AndersonC#AgarwalR_2009_Genetic_Information_Altruists_-_How_Far_and_To_Whom_Does_Their_Generosity_Extend_ICIS-Table3-1.png	28	10	0.08928571428571429	0	0	0	10.2	0	0	Model_results
pngs\Descriptive_stats\AndersonC#AgarwalR_2009_Genetic_Information_Altruists_-_How_Far_and_To_Whom_Does_Their_Generosity_Extend_ICIS-Table2-1.png	25	5	0.12	0	0	1	7.333333333333333	0	0	Descriptive_stats
pngs\Coorleation\AndersonC#AgarwalR_2009_Genetic_Information_Altruists_-_How_Far_and_To_Whom_Does_Their_Generosity_Extend_ICIS-Table1-1.png	9	14	0.1746031746031746	0	1	1	0.75	0	0	Coorleation
pngs\Descriptive_stats\AndersonM#BankerR#HuN_2003_The_Impact_of_Information_Technology_Spending_on_Future_Performance_ICIS-Table1-1.png	19	9	0.0935672514619883	0	1	0	0.1476510067114094	0	0	Descriptive_stats
pngs\Descriptive_stats\AndersonM#BankerR#NatarajanR_2002_Incentive_Value_of_Stock_Options_at_Information_Technology_Companies_in_the_Down_Markets_ICIS-Table2-1.png	43	5	0.20465116279069767	0	0	0	3.8863636363636362	0	0	Descriptive_stats
pngs\Descriptive_stats\AndersonM#BankerR#NatarajanR_2002_Incentive_Value_of_Stock_Options_at_Information_Technology_Companies_in_the_Down_Markets_ICIS-Table1-1.png	43	5	0.20465116279069767	0	0	0	3.8863636363636362	0	0	Descriptive_stats
pngs\Variable_def\AralS#BrynjolfssonE#WuD_2006_Which_Came_First__IT_or_Productivity_-_The_Virtuous_Cycle_of_Investment_and_Use_In_Enterprise_Systems_ICIS-Table3-1.png	11	4	0.11363636363636363	0	0	0	7.8	1	0	Variable_def
pngs\Descriptive_stats\AralS#BrynjolfssonE#WuD_2006_Which_Came_First__IT_or_Productivity_-_The_Virtuous_Cycle_of_Investment_and_Use_In_Enterprise_Systems_ICIS-Table1-1.png	11	6	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Descriptive_stats\AralS#BrynjolfssonE#WuL_2009_Testing_Three-Way_Complementarities_-_Performance_Pay__Monitoring_and_Information_Technology_ICIS-Table2-1.png	19	7	0.08270676691729323	0	0	1	11.090909090909092	0	0	Descriptive_stats
pngs\Model_results\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table6-1.png	21	8	0.1130952380952381	0	0	1	7.842105263157895	0	1	Model_results
pngs\Model_results\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table3-1.png	32	3	0.13541666666666666	0	0	1	6.384615384615385	0	1	Model_results
pngs\Model_results\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table5-1.png	23	8	0.15217391304347827	0	0	1	5.571428571428571	0	1	Model_results
pngs\Model_results\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table4-1.png	29	5	0.12413793103448276	0	0	0	7.055555555555555	0	0	Model_results
pngs\Descriptive_stats\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table1-1.png	19	6	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Model_results\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table3-1.png	32	3	0.13541666666666666	0	0	1	6.384615384615385	0	1	Model_results
pngs\Coorleation\AralS#BrynjolfssonE_2007_Productivity_Effects_of_Information_Diffusion_in_E-Mail_Networks_ICIS-Table2-1.png	19	19	0.42382271468144045	0	0	0	0.05555555555555555	0	0	Coorleation
pngs\Descriptive_stats\AralS#IpeirotisP#TaylorS_2011_Content_and_Context_-_Identifying_the_Impact_of_Qualitative_Information_on_Consumer_Choice_ICIS-Table1-1.png	14	8	0.16964285714285715	0	1	0	4.894736842105263	0	0	Descriptive_stats
pngs\Model_results\ArlingP#SubramaniM_2005_Being_There_Versus_Being_Wired_-_The_Effect_of_Colocation_on_Social_Capital_in_Distributed_Teams_ICIS-Table4-1.png	24	5	0.2	0	0	1	4.0	0	1	Model_results
pngs\Descriptive_stats\ArlingP#SubramaniM_2005_Being_There_Versus_Being_Wired_-_The_Effect_of_Colocation_on_Social_Capital_in_Distributed_Teams_ICIS-Table2-1.png	12	5	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Coorleation\ArlingP#SubramaniM_2005_Being_There_Versus_Being_Wired_-_The_Effect_of_Colocation_on_Social_Capital_in_Distributed_Teams_ICIS-Table3-1.png	18	17	0.3954248366013072	0	0	0	1.5289256198347108	0	0	Coorleation
pngs\Variable_def\AskenaesL#WesteliusA_2000_Five_Roles_of_an_Information_System_-_A_Social_Constructionist_Approach_to_Analyzing_the_Use_of_ERP_Systems_ICIS-Table1-1.png	5	2	0.0	0	0	1	100	0	0	Variable_def
pngs\Descriptive_stats\AsvanundA#ClayK#KrishnanR#SmithM_2002_An_Empirical_Analysis_of_Network_Externalities_in_Peer-to-Peer_Music-Sharing_Networks_ICIS-Table1-1.png	14	6	0.05952380952380952	0	1	1	15.8	0	0	Descriptive_stats
pngs\Variable_def\AuC#SunY_2019_The_Development_of_P2P_Lending_Platforms_-_Strategies_and_Implications_ICIS-Table1-1.png	8	2	0.125	1	0	1	7.0	0	0	Variable_def
pngs\Variable_def\AuC#SunY_2019_The_Development_of_P2P_Lending_Platforms_-_Strategies_and_Implications_ICIS-Table2-1.png	7	2	0.0	0	0	1	100	1	0	Variable_def
pngs\Coorleation\AvitalM#SinghB_2007_The_Impact_of_Collaboration_and_Competition_on_Project_Performance_ICIS-Table1-1.png	14	11	0.2987012987012987	0	1	0	2.347826086956522	0	0	Coorleation
pngs\Descriptive_stats\AxelsenM#BorthickA#BowenP_2001_A_Model_for_and_the_Effects_of_Information_Request_Ambiguity_on_End-user_Query_Performance_ICIS-Table3-1.png	18	7	0.30158730158730157	0	1	1	2.3157894736842106	0	0	Descriptive_stats
pngs\Descriptive_stats\AxelsenM#BorthickA#BowenP_2001_A_Model_for_and_the_Effects_of_Information_Request_Ambiguity_on_End-user_Query_Performance_ICIS-Table2-1.png	26	13	0.01775147928994083	0	1	1	55.333333333333336	0	0	Descriptive_stats
pngs\Variable_def\AxelsenM#BorthickA#BowenP_2001_A_Model_for_and_the_Effects_of_Information_Request_Ambiguity_on_End-user_Query_Performance_ICIS-Table1-1.png	8	2	0.0	0	0	0	100	1	0	Variable_def
pngs\Descriptive_stats\AxelsenM#BorthickA#BowenP_2001_A_Model_for_and_the_Effects_of_Information_Request_Ambiguity_on_End-user_Query_Performance_ICIS-Table4-1.png	34	7	0.17647058823529413	0	0	1	4.666666666666667	0	0	Descriptive_stats
pngs\Descriptive_stats\BachuraE#ValechaR#ChenR#RaoH_2017_Data_Breaches_and_the_Individual_-_An_Exploratory_Study_of_the_OPM_Hack_ICIS-Table6-1.png	12	3	0.0	0	0	1	100	0	0	Descriptive_stats
pngs\Model_results\BagchiK#KirsP_2009_The_Impact_of_Schwartz's_Cultural_Value_Types_on_ICT_Use_-_A_Multi-National_Individual-Level_Analysis_ICIS-Table2-1.png	40	6	0.4666666666666667	0	0	0	1.1428571428571428	0	0	Model_results
pngs\Variable_def\BalG_2014_Explicitness_of_Consequence_Information_in_Privacy_Warnings_-_Experimentally_Investigating_the_Effects_on_Perceived_Risk__Trust__and_Privacy_ICIS-Table1-1.png	8	2	0.0	0	0	0	100	1	0	Variable_def
pngs\Descriptive_stats\BalkanS_2010_PREDICTIVE_MODEL_MARKETS_-_DESIGN_PRINCIPLES_FOR_MANAGING_ENTERPRISE-LEVEL_ADVANCED_ANALYTICS_ICIS-Table2-1.png	6	10	0.0	0	0	1	100	0	0	Descriptive_stats
pngs\Variable_def\BandaraW#GableG#RosemannM_2006_Business_Processing_Modeling_Success_-_An_Empirically_Tested_Measurement_Model_ICIS-Table1-1.png	1	1	0.0	1	1	0	100	0	0	Variable_def
pngs\Coorleation\BandaraW#GableG#RosemannM_2006_Business_Processing_Modeling_Success_-_An_Empirically_Tested_Measurement_Model_ICIS-TableA.2-1.png	10	11	0.33636363636363636	0	1	0	1.972972972972973	0	0	Coorleation
pngs\Descriptive_stats\BankerR#BardhanI#ChangH#LinS_2003_Impact_of_Manufacturing_Practices_on_Adoption_of_Plant_Information_Systems_ICIS-Table1-1.png	33	8	0.19696969696969696	0	0	1	4.076923076923077	0	0	Descriptive_stats
pngs\Descriptive_stats\BankerR#ChenP#LiuF_2010_COMPLEMENTARITY_OF_THE_IMPACT_OF_ALTERNATIVE_SERVICE_CHANNELS_ON_BANK_PERFORMANCE_ICIS-Table2-1.png	13	5	0.015384615384615385	0	1	1	64.0	0	0	Descriptive_stats
pngs\Model_results\BapnaR#GuptaA#RayG#SinghS_2013_Specialization__Integration__and_Multi-sourcing_-_A_study_of_Large_IT_Outsourcing_Projects_ICIS-Table3-1.png	16	3	0.14583333333333334	0	0	1	5.857142857142857	0	1	Model_results
pngs\Model_results\BapnaR#GuptaA#RayG#SinghS_2013_Specialization__Integration__and_Multi-sourcing_-_A_study_of_Large_IT_Outsourcing_Projects_ICIS-Table2-1.png	17	5	0.16470588235294117	0	0	1	5.071428571428571	0	1	Model_results
pngs\Coorleation\BapnaR#GuptaA#RayG#SinghS_2013_Specialization__Integration__and_Multi-sourcing_-_A_study_of_Large_IT_Outsourcing_Projects_ICIS-Table1-1.png	8	9	0.2222222222222222	0	1	0	0.5	0	0	Coorleation
pngs\Coorleation\BapnaR#GuptaA#RayG#SinghS_2013_Specialization__Integration__and_Multi-sourcing_-_A_study_of_Large_IT_Outsourcing_Projects_ICIS-Table1-1.png	8	9	0.2222222222222222	0	1	0	0.5	0	0	Coorleation
pngs\Descriptive_stats\BarbagalloD#FrancaleneiC#MerloF_2008_The_Impact_of_Social_Netowrking_on_Software_Design_Quality_and_Development_Effort_in_Open_Source_Projects_ICIS-Table5-1.png	10	5	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Descriptive_stats\BardhanI#AyabakanS#ZhengE#KirkseyK_2014_Value_of_Health_Information_Sharing_in_Reducing_Healthcare_Waste_-_An_analysis_of_duplicate_testing_across_hospitals_ICIS-Table3-1.png	6	5	0.06666666666666667	0	0	0	14.0	0	0	Descriptive_stats
pngs\Descriptive_stats\BardhanI#AyabakanS#ZhengE#KirkseyK_2014_Value_of_Health_Information_Sharing_in_Reducing_Healthcare_Waste_-_An_analysis_of_duplicate_testing_across_hospitals_ICIS-Table2-1.png	24	6	0.034722222222222224	0	0	0	27.8	0	0	Descriptive_stats
pngs\Descriptive_stats\BardhanI#AyabakanS#ZhengE#KirkseyK_2014_Value_of_Health_Information_Sharing_in_Reducing_Healthcare_Waste_-_An_analysis_of_duplicate_testing_across_hospitals_ICIS-Table1-1.png	34	7	0.15126050420168066	0	1	1	5.611111111111111	1	0	Descriptive_stats
pngs\Variable_def\BardhanI#ZhengE#OhJ#KirkseyK_2011_A_Profiling_Model_for_Readmission_of_Patients_with_Congestive_Heart_Failure_-_A_multi-hospital_study_ICIS-Table1-1.png	12	2	0.0	0	1	1	100	0	0	Variable_def
pngs\Coorleation\BarthM#VeitD_2011_Which_Processes_Do_Users_Not_Want_Online_-_Extending_Process_Virtualization_Theory_ICIS-Table3-1.png	8	11	0.23863636363636365	0	1	1	3.1904761904761907	0	0	Coorleation
pngs\Descriptive_stats\BasuS#HanW#GarimellaA_2019_Impact_of_Artificial_Intelligence_on_Human_Decision_Making_on_ICO_Platforms_ICIS-Table3-1.png	3	3	0.1111111111111111	0	0	0	8.0	0	0	Descriptive_stats
pngs\Variable_def\BasuS#HanW#GarimellaA_2019_Impact_of_Artificial_Intelligence_on_Human_Decision_Making_on_ICO_Platforms_ICIS-Table1-1.png	10	2	0.0	0	1	1	100	1	0	Variable_def
pngs\Descriptive_stats\BasuS#HanW#GarimellaA_2019_Impact_of_Artificial_Intelligence_on_Human_Decision_Making_on_ICO_Platforms_ICIS-Table2-1.png	10	5	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Model_results\BasuS#HanW#GarimellaA_2019_Impact_of_Artificial_Intelligence_on_Human_Decision_Making_on_ICO_Platforms_ICIS-Table4-1.png	15	3	0.17777777777777778	0	0	1	4.625	0	1	Model_results
pngs\Model_results\BasuS#HanW#GarimellaA_2019_Impact_of_Artificial_Intelligence_on_Human_Decision_Making_on_ICO_Platforms_ICIS-Table5-1.png	6	3	0.05555555555555555	0	1	1	17.0	0	1	Model_results
pngs\Variable_def\BaumgartR#WiewiorraL_2016_The_Role_of_Self-Control_in_Self-Tracking_ICIS-Table1-1.png	6	2	0.0	0	0	1	100	1	0	Variable_def
pngs\Variable_def\BaumgartR#WiewiorraL_2016_The_Role_of_Self-Control_in_Self-Tracking_ICIS-Table2-1.png	17	4	0.14705882352941177	0	0	1	5.8	1	0	Variable_def
pngs\Model_results\BaumM#RablT_2019_Digital_Capital_as_an_Opportunity-Enhancer_for_Employee_Corporate_Entrepreneurship_Decisions_ICIS-Table2-1.png	34	8	0.34558823529411764	0	0	1	1.8936170212765957	0	1	Model_results
pngs\Descriptive_stats\BeloR#FerreiraP#TelangR_2010_BROADBAND_IN_SCHOOLS_-_DOES_IT_HELP_OR_HURT_STUDENT_PERFORMANCE_ICIS-Table1-1.png	13	6	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Descriptive_stats\Benbunan-FichR_2012_Measurement_of_Multitasking_with_Focus_Shift_Analysis_ICIS-Table3-1.png	9	6	0.35185185185185186	0	0	0	1.8421052631578947	0	0	Descriptive_stats
pngs\Descriptive_stats\Benbunan-FichR_2012_Measurement_of_Multitasking_with_Focus_Shift_Analysis_ICIS-Table2-1.png	14	6	0.40476190476190477	0	1	0	1.4705882352941178	0	0	Descriptive_stats
pngs\Descriptive_stats\BenzC#ZierauN#SatzgerG_2018_To_Rate_or_to_Fund_-_-_The_Effect_of_Idea_Evaluation_Platform_Design_on_Decision_Quality_and_User_Engagement_ICIS-Table2-1.png	5	4	0.2	0	1	0	4.0	0	0	Descriptive_stats
pngs\Variable_def\BerendesC#BartelheimerC#BetzingJ#BeverungenD_2018_Data-driven_Customer_Journey_Mapping_in_Local_High_Streets_-_A_Domain-specific_Modeling_Language_ICIS-Table1-1.png	10	2	0.0	0	0	0	100	1	0	Variable_def
pngs\Descriptive_stats\BergmeierM#IvanovaO#TotzekD#ScholzM_2016_What_Makes_a_Hot_Deal_-_Drivers_of_Deal_Popularity_in_Online_Deal_Communities_ICIS-Table3-1.png	16	9	0.2152777777777778	0	1	0	3.6451612903225805	0	0	Descriptive_stats
pngs\Descriptive_stats\BergmeierM#IvanovaO#TotzekD#ScholzM_2016_What_Makes_a_Hot_Deal_-_Drivers_of_Deal_Popularity_in_Online_Deal_Communities_ICIS-Table2-1.png	19	9	0.2573099415204678	0	1	0	2.8863636363636362	0	0	Descriptive_stats
pngs\Descriptive_stats\BergmeierM#IvanovaO#TotzekD#ScholzM_2016_What_Makes_a_Hot_Deal_-_Drivers_of_Deal_Popularity_in_Online_Deal_Communities_ICIS-Table1-1.png	13	10	0.023076923076923078	0	1	0	42.333333333333336	0	0	Descriptive_stats
pngs\Coorleation\BergmeierM#IvanovaO#TotzekD#ScholzM_2016_What_Makes_a_Hot_Deal_-_Drivers_of_Deal_Popularity_in_Online_Deal_Communities_ICIS-Table4-1.png	22	12	0.3446969696969697	0	0	0	0.19457013574660634	0	0	Coorleation
pngs\Variable_def\BernhardE#ReckerJ#Burton-JonesA_2013_Understanding_the_Actualization_of_Affordances_-_A_Study_in_the_Process_Modeling_Context_ICIS-Table2-1.png	8	5	0.0	0	0	1	100	1	1	Variable_def
pngs\Coorleation\BeutelS#BendigD#BrettelM_2019_The_Intangible_Value_of_Digitalization_-_Assessing_the_Relationship_of_Digital_Orientation_and_Intangible_Value_Drivers_ICIS-Table4-1.png	16	12	0.2916666666666667	0	1	0	2.096774193548387	0	0	Coorleation
pngs\Variable_def\BeutelS#BendigD#BrettelM_2019_The_Intangible_Value_of_Digitalization_-_Assessing_the_Relationship_of_Digital_Orientation_and_Intangible_Value_Drivers_ICIS-Table3-1.png	14	3	0.0	0	0	0	100	1	0	Variable_def
pngs\Model_results\BeutelS#BendigD#BrettelM_2019_The_Intangible_Value_of_Digitalization_-_Assessing_the_Relationship_of_Digital_Orientation_and_Intangible_Value_Drivers_ICIS-Table6-1.png	15	4	0.23333333333333334	0	0	1	3.2857142857142856	0	1	Model_results
pngs\Model_results\BeutelS#BendigD#BrettelM_2019_The_Intangible_Value_of_Digitalization_-_Assessing_the_Relationship_of_Digital_Orientation_and_Intangible_Value_Drivers_ICIS-Table7-1.png	13	4	0.17307692307692307	0	0	1	4.777777777777778	0	1	Model_results
pngs\Model_results\BeutelS#BendigD#BrettelM_2019_The_Intangible_Value_of_Digitalization_-_Assessing_the_Relationship_of_Digital_Orientation_and_Intangible_Value_Drivers_ICIS-Table5-1.png	11	4	0.09090909090909091	0	0	1	10.0	0	1	Model_results
